restaurant_id,name,rating,reviews,price,cuisine_location,timeslots
317403,Estabulo Aberdeen,4.1,(1117),Price: Expensive,• Brazilian • Aberdeen,"21:45, 22:00"
216807,The Spiritualist Aberdeen,4.3,(344),Price: Moderate,• Scottish • Aberdeen,"23:00, 23:15, 23:30, 23:45, 00:00"
276819,Amuse by Kevin Dalgleish,4.6,(954),Price: Very Expensive,• Scottish • Aberdeen,"20:45, 21:00"
193860,The Station Hotel - Brasserie,4.0,(606),Price: Expensive,• British • Aberdeen,"20:45, 21:00"
277179,Maggies Grill - Marischal Square,4.8,(1649),Price: Moderate,• Cajun • Aberdeen,"20:45, 21:00"
243897,The Bobbin Aberdeen,4.8,(1),Price: Expensive,• British • Aberdeen,"20:45, 21:00"
425358,Wild Goosenew,4.5,(89),Price: Expensive,• British • Aberdeen,"23:00*, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top, 23:15*, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top, 23:30*, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top, 23:45*, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top, 00:00*, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top"
330528,Seoul Restaurant Korean BBQ & Japanese,4.7,(181),Price: Moderate,• Korean • Aberdeen,20:30
292485,Faffless,4.7,(67),Price: Moderate,• Wine Bar • Aberdeen,"22:45, 23:00"
351279,Golden Palace,3.6,(36),Price: Moderate,• Chinese • Aberdeen,"21:30, 21:45"
159798,Cafe Boheme Aberdeen,4.8,(1868),Price: Expensive,• French • Aberdeen,"21:15, 21:30"
353793,The Tapestry,4.1,(9),Price: Expensive,• Scottish • Aberdeen,"20:45, 21:00"
362364,The Tilted Wignew,,,Price: Moderate,• Pub • Aberdeen,"22:45*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, 23:00*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top"
214620,Paramount Bar,4.3,(50),Price: Moderate,• Bar / Lounge / Bottle Service • Aberdeen,"20:45, 21:00"
459732,Irmak Restaurant,,(0),Price: Moderate,• Turkish • Aberdeen,"21:15, 21:30"
419469,Grosvenor Casino Aberdeennew,,(0),Price: Expensive,• British • Aberdeen,"23:00, 23:15, 23:30, 23:45, 00:00"
125895,Trump's Restaurant & Cellar,4.8,(31),Price: Very Expensive,• Scottish • Aberdeen,"20:45, 21:00"
384960,The Rustic Grill Ltd,4.9,(155),Price: Expensive,• Grill • Turriff,"20:30*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar"
142134,Da Vinci,4.4,(149),Price: Moderate,• Italian • Aberdeen,
218286,Foundry Aberdeen,4.9,(21),Price: Moderate,• British • Aberdeen,
218469,Slains Aberdeen,4.0,(4),Price: Moderate,• Pub • Aberdeen,
400686,wagamama aberdeennew,4.0,(1),Price: Moderate,• Asian • Aberdeen,
243894,Triplekirks Aberdeen,2.5,(2),Price: Moderate,• British • Aberdeen,
218706,Murdos Bar Aberdeen,4.7,(2),Price: Moderate,• British • Aberdeen,
125898,The Dunes Restaurant & Bar @ Trump International Aberdeen,4.4,(291),Price: Expensive,• Contemporary European • Aberdeen,
144303,The Stack Restaurant and Bar,4.7,(692),Price: Expensive,• Modern European • Aberdeen,
284334,The Dunavonnew,,(0),Price: Moderate,• Gastro Pub • Aberdeen,
218283,Black Dog Aberdeen,4.6,(4),Price: Moderate,• British • Aberdeen,
136482,Clachan Grill,4.8,(1017),Price: Expensive,• Scottish • Ballater,
390690,Haughton Arms Hotel,4.5,(8),Price: Expensive,• Scottish • Alford,
322587,The Forbes Arms Hotel,4.6,(366),Price: Expensive,• Scottish • Alford,
