restaurant_id,name,rating,reviews,price,cuisine_location,timeslots
285084,24 Stories,4.5,(1318),Price: Very Expensive,• British • Birmingham,22:00
157902,The Ivy Temple Row,4.5,(13707),Price: Moderate,• British • Birmingham,"23:15, 23:30"
260268,Lulu Wild,4.2,(503),Price: Expensive,• Chinese • Birmingham,22:30
254949,Isaac’s Restaurant,4.1,(241),Price: Expensive,• Contemporary British • Birmingham,"23:15, 23:30, 00:00"
338442,Madeleine Bar,4.3,(401),Price: Expensive,• Bar / Lounge / Bottle Service • Birmingham,"23:15, 23:30, 23:45"
33142,Pasta di Piazza,4.7,(2169),Price: Moderate,• Italian • Birmingham,22:30
384975,Regina's Bar & Restaurant,4.4,(35),Price: Expensive,• Italian • Birmingham,"22:30*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar"
259362,The Rolling Mill,4.5,(823),Price: Moderate,• International • Jewellery Quarter,"21:30*, Seating optionsStandardHigh TopBar, Seating optionsStandardHigh TopBar, Seating optionsStandardHigh TopBar, Seating optionsStandardHigh TopBar"
371247,Royal Watan,4.7,(49),Price: Expensive,• Indian • Birmingham,23:00
338304,Siamais,4.5,(463),Price: Expensive,• Thai • Birmingham,22:30
206154,Milano Bar & Ristorante,4.5,(1292),Price: Moderate,• Italian • Birmingham,22:00
67471,Cucina Rustica Birmingham,4.7,(1374),Price: Expensive,• Italian • Birmingham,22:30
137586,Gaucho Birmingham,4.5,(3504),Price: Expensive,• Steak • Birmingham,22:30
31978,Asha's Birmingham,4.5,(2878),Price: Very Expensive,• Indian • Birmingham,"22:30*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar"
329286,Piccolino - Birmingham,4.3,(595),Price: Expensive,• Italian • Edgbaston,22:45
332649,Restaurant at The Woods,4.2,(370),Price: Moderate,• British • Birmingham,"22:00*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor"
287664,Riva Blu Italian Restaurant & Bar - Birmingham,4.5,(488),Price: Expensive,• Italian • Birmingham,22:45
359247,Dil Se - Mail Box,4.5,(29),Price: Moderate,• Indian • Birmingham,22:00
287871,Bank Birmingham,4.2,(534),Price: Expensive,• Contemporary British • Birmingham,"23:15*, Seating optionsBar, Seating optionsBar, Seating optionsBar, Seating optionsBar, 23:30*, Seating optionsBar, Seating optionsBar, Seating optionsBar, Seating optionsBar, 23:45*, Seating optionsBar, Seating optionsBar, Seating optionsBar, Seating optionsBar"
103431,The High Field,4.6,(604),Price: Moderate,• British • Edgbaston,"21:15*, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor"
248421,Mythos Taverna,4.6,(907),Price: Moderate,• Greek • Birmingham,"22:30*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor"
175041,Noel's Bar and Restaurant,4.7,(1236),Price: Expensive,• Italian • Birmingham,22:00
