restaurant_id,name,rating,reviews,price,cuisine_location,timeslots
391866,Brighton Curry,4.7,(1),Price: Moderate,• Indian • Brighton,"21:15, 21:30"
335406,Wahaca Brighton,4.6,(97),Price: Moderate,• Mexican • Brighton,"21:45*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, 22:00*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor"
354402,Kindling Restaurant,4.7,(479),Price: Expensive,• Steakhouse • Brighton,"21:30, 21:45"
121539,Purezza Brighton,4.7,(669),Price: Moderate,• Vegan • Brighton,"21:00, 21:15"
157905,The Ivy in the Lanes,4.6,(16903),Price: Moderate,• British • Brighton,"22:30, 22:45"
272550,Cecconi’s Brighton,4.1,(88),Price: Moderate,• Italian • Brighton,"21:30, 21:45"
277881,"The Ivy Asia, Brighton",4.2,(4292),Price: Expensive,• Contemporary Asian • Brighton,"22:30*, Seating optionsStandardCounter, Seating optionsStandardCounter, Seating optionsStandardCounter, Seating optionsStandardCounter, 22:45*, Seating optionsStandardCounter, Seating optionsStandardCounter, Seating optionsStandardCounter, Seating optionsStandardCounter"
340983,Fatto a Mano North Laine Brighton,4.9,(89),Price: Moderate,• Pizzeria • Brighton,"21:30, 21:45"
426588,Elite Kitchen,5.0,(2),Price: Moderate,• Turkish • Hove,"20:30, 21:30"
175575,Côte Brasserie - Brighton,4.2,(154),Price: Moderate,• French • Brighton,"21:45, 22:00"
325737,ETCI KITCHEN BRIGHTON,4.7,(38),Price: Moderate,• Turkish • Brighton,"21:30, 22:00"
204237,Bill's Restaurant & Bar - Brighton,4.7,(1598),Price: Moderate,• British • Brighton,"21:30, 21:45"
82378,IL Bistro,4.6,(378),Price: Moderate,• Steakhouse • Brighton,"21:00, 21:30"
10177,Indian Summer,4.7,(32),Price: Expensive,• Indian • Brighton,"21:45, 22:00"
91299,Bohemia - Brighton,4.2,(194),Price: Moderate,• Modern European • Brighton,"20:30, 20:45"
424893,Clementine & Co,4.8,(16),Price: Moderate,• Cocktail Bar • Hove,"23:00*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, 23:15*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor"
340971,Fatto a Mano Hove,4.8,(93),Price: Moderate,• Pizzeria • Hove,"21:30, 21:45"
443232,Namo,4.5,(1),Price: Expensive,• Thai • Brighton,"20:30, 21:00"
425289,Six - Brighton & Hove,4.1,(9),Price: Expensive,• Modern European • Hove,20:30
320790,Shandiz,4.8,(13),Price: Expensive,• Persian • Brighton,"21:30, 21:45"
395199,La Piazza,4.9,(11),Price: Moderate,• Italian • Brighton,"21:15*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, 21:30*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor"
49392,Sabai Thai Brighton,4.5,(198),Price: Expensive,• Thai • Brighton,"21:15*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, 21:30*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor"
424878,La Tapa Loca,4.4,(28),Price: Moderate,• Tapas / Small Plates • Hove,"21:15, 21:30"
263010,Pho Brighton,4.6,(399),Price: Moderate,• Vietnamese • Brighton,"21:15*, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top, 21:30*, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top"
426795,Brisa,4.6,(17),Price: Expensive,• Tapas / Small Plates • Brighton,"21:30*, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, 22:00*, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor"
164832,The Copper Clam,4.6,(1367),Price: Expensive,• Seafood • Brighton,"20:45*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, 21:00*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor"
11035,Food for Friends,4.3,(3848),Price: Moderate,• Vegetarian / Vegan • Brighton,"22:15, 22:30"
340962,Fatto a Mano Preston Circus,4.8,(30),Price: Moderate,• Pizzeria • Brighton,"21:30, 21:45"
290214,KUSIKUY,4.7,(93),Price: Expensive,• Peruvian • Hove,"22:45*, Seating optionsStandardHigh TopOutdoor, Seating optionsStandardHigh TopOutdoor, Seating optionsStandardHigh TopOutdoor, Seating optionsStandardHigh TopOutdoor, 23:00*, Seating optionsStandardHigh TopOutdoor, Seating optionsStandardHigh TopOutdoor, Seating optionsStandardHigh TopOutdoor, Seating optionsStandardHigh TopOutdoor"
383853,Salt & Charcoal,5.0,(1),Price: Moderate,• Greek • Brighton,"23:00, 23:15, 23:30"
85792,Bistro du Vin Brighton,4.1,(167),Price: Expensive,• French • Brighton,"20:30, 20:45"
165207,Coco’s Bistro - Brighton UK,4.2,(52),Price: Expensive,• Seafood • Brighton,"21:15, 21:30"
388677,Persia Lounge Hove,4.7,(14),Price: Moderate,• Persian • Brighton,"22:15, 22:30"
416730,Chowpatty,,(0),Price: Moderate,• Indian • Hove,"22:15, 22:30"
420906,Balinese House Restaurant,4.9,(8),Price: Moderate,• Indonesian • Brighton,"21:15*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, 21:30*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor"
448431,Bar 50mlnew,,(0),Price: Moderate,• Cocktail Bar • Brighton,"21:15, 21:30"
268770,No1 Bar & Bistro,3.9,(16),Price: Moderate,• British • Brighton,"21:00, 21:15"
290490,Brighton HarBAR & Kitchen,3.7,(2),Price: Moderate,• British • Brighton,"20:45, 21:00"
308877,Paris Wine Bar,4.0,(0),Price: Moderate,• Wine Bar • Hove,"21:15*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, 21:30*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top"
367359,Pamukkale Restaurant,5.0,(1),Price: Moderate,• Turkish • Brighton,"21:45*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, 22:00*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor"
369675,Grain & Grill,3.2,(4),Price: Moderate,• Grill • Brighton,"21:00, 21:15"
195075,Al Rouche,3.9,(10),Price: Moderate,• Middle Eastern • Hove,"22:15, 22:30"
218193,Charles Street Tap Brighton,4.0,(1),Price: Moderate,• Pub • Brighton,"20:45, 21:00"
451050,The Greenhousenew,,,Price: Moderate,• Bar / Lounge / Bottle Service • Hove,"21:45, 22:00"
204366,Bill's Restaurant & Bar - Lewes,4.7,(1378),Price: Moderate,• British • Lewes,"21:30, 21:45"
421605,Haru Izakaya,4.4,(34),Price: Moderate,• Japanese • Lewes,"20:45, 21:00"
175719,Côte Brasserie - Lewes,4.5,(33),Price: Moderate,• French • Lewes,"20:45, 21:00"
325596,FUMI Restaurant,4.5,(279),Price: Expensive,• Japanese • Brighton,
258504,The Little Fish Market,4.8,(58),Price: Very Expensive,• Fish • Hove,
358974,Dishoom Permit Room Brighton,4.8,(4),Price: Moderate,• Indian • Brighton,
