restaurant_id,name,rating,reviews,price,cuisine_location,timeslots
159351,Hawksmoor Edinburgh,4.6,(6303),Price: Expensive,• Steakhouse • Edinburgh,"21:30, 21:45"
84049,Whiski Rooms,4.5,(2438),Price: Moderate,• Scottish • Old Town,"21:15, 21:30"
138069,The Ivy on the Square,4.4,(13905),Price: Expensive,• British • Old Town,"22:15, 22:30"
425802,PizzaExpress Edinburgh - Queensferry Street,1.0,(1),Price: Moderate,• Pizzeria • New Town,"21:45, 22:00"
320103,Bistronomy 176,4.6,(184),Price: Moderate,• Mediterranean • New Town,"21:15, 21:30"
351495,The Spanish Butcher - Edinburgh,4.7,(661),Price: Expensive,• Steakhouse • New Town,"21:15, 21:30"
128769,Badger & Co,4.7,(1943),Price: Moderate,• Scottish • Edinburgh,"22:15, 22:30"
87283,Kyloe Gourmet Steak Restaurant,4.6,(3486),Price: Very Expensive,• Steak • Westend,"21:45, 22:00"
113037,Mamma Roma Ristorante,4.7,(2881),Price: Moderate,• Italian • Leith Walk,"21:45, 22:00"
364605,Paz Taqueria,4.8,(124),Price: Moderate,• Mexican • New Town,"20:45, 21:00"
374106,Cabo Restaurant and Bar,4.1,(110),Price: Moderate,• Mexican • Edinburgh,"21:30*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, 21:45*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top"
137754,Copper Blossom,4.6,(1483),Price: Moderate,• Cocktail Bar • Edinburgh,"23:00, 23:15"
142638,Gaucho Edinburgh,4.7,(3214),Price: Expensive,• Steak • Edinburgh,"23:00, 23:15"
266988,Fava,4.7,(2106),Price: Moderate,• Greek • Edinburgh,"20:30, 20:45"
