restaurant_id,name,rating,reviews,price,cuisine_location,timeslots
364815,The Kings Arms Broomfield,4.0,(29),Price: Moderate,• Gastro Pub • Chelmsford,"20:45*, Seating optionsStandardHigh TopOutdoor, Seating optionsStandardHigh TopOutdoor, Seating optionsStandardHigh TopOutdoor, Seating optionsStandardHigh TopOutdoor, 21:00*, Seating optionsStandardHigh TopOutdoor, Seating optionsStandardHigh TopOutdoor, Seating optionsStandardHigh TopOutdoor, Seating optionsStandardHigh TopOutdoor"
355485,The Fat Turk - Brentwood,4.7,(66),Price: Expensive,• Turkish • Brentwood,"21:15, 21:30"
425523,PizzaExpress Basildon - Festival Leisure Park,,(0),Price: Moderate,• Pizzeria • Basildon,"22:45, 23:00"
38344,Smiths Restaurant Ongar,4.8,(5448),Price: Very Expensive,• Seafood • Ongar,"21:45, 22:00"
204276,Bill's Restaurant & Bar - Chelmsford,4.2,(856),Price: Moderate,• British • Chelmsford,"21:30, 21:45"
175611,Côte Brasserie - Chelmsford,4.5,(83),Price: Moderate,• French • Chelmsford,"21:45, 22:00"
164016,The Anchor Danbury,4.6,(1613),Price: Moderate,• British • Chelmsford,"20:30, 20:45"
380589,Lux N Lush,4.7,(42),Price: Expensive,• Mediterranean • Wickford,"20:30*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, 21:00*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar"
388962,Bella Ischia,4.6,(35),Price: Moderate,• Italian • Billericay,"21:15, 21:30"
321117,The Cricketers Mill Green,4.5,(156),Price: Expensive,• British • Brentwood,20:30
106269,Harry's Bar,4.7,(158),Price: Expensive,• Thai • Billericay,20:30
342909,The Eyna Basildon,4.8,(1048),Price: Expensive,• Turkish • Basildon,"22:15, 22:30"
287058,Funky Monk,4.2,(199),Price: Expensive,• British • Epping,"21:15, 21:30"
142563,The Standard,4.0,(127),Price: Moderate,• Gastro Pub • Loughton,"20:45*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, 21:00*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor"
98310,The Bull Brentwood,4.6,(2159),Price: Moderate,• Gastro Pub • Brentwood,"20:45*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, 21:00*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar"
171966,The House by Hilly Gant,4.7,(1338),Price: Very Expensive,• British • Braintree,"21:00, 21:15"
280776,Kara Lounge & Grill,4.7,(1413),Price: Moderate,• Turkish • Grays,"22:30, 22:45"
200403,The Leather Bottle,4.7,(88),Price: Moderate,• Gastro Pub • Brentwood,20:30
123066,Lot Bar & Restaurant,4.8,(1523),Price: Expensive,• Contemporary European • Brentwood,"21:15*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, 21:30*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor"
105717,The Olde Dog Inn,4.6,(843),Price: Moderate,• British • Brentwood,20:30
425541,PizzaExpress Brentwood - High Street,,(0),Price: Moderate,• Pizzeria • Brentwood,"22:45, 23:00"
425880,PizzaExpress Rayleigh - High Street,,(0),Price: Moderate,• Pizzeria • Rayleigh,"22:45, 23:00"
176604,Gods Own Pizza Shenfield,4.0,(2),Price: Moderate,• Pizzeria • Brentwood,"22:15, 22:30"
82045,"County Hotel, Samphire Restaurant",4.0,(24),Price: Moderate,• Contemporary British • Chelmsford,"21:15, 21:30"
266274,The Grove,4.6,(28),Price: Moderate,• Bistro • Canvey Island,"20:30*, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, 20:45*, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor"
205959,Efezade Mezze Grill,4.5,(54),Price: Moderate,• Turkish • Chigwell,"22:45*, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, 23:00*, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor"
218649,Quart Pot Runwell,4.0,(1),Price: Moderate,• British • Wickford,"20:45, 21:00"
104934,Le Bouchon Brasserie & Hotel,4.7,(1237),Price: Very Expensive,• French • Maldon,"21:15, 21:30"
420849,Medusa,4.8,(248),Price: Expensive,• Mediterranean • Southend-On-Sea,"20:45, 21:00"
425691,PizzaExpress Southend - London Road,,(0),Price: Moderate,• Pizzeria • Southend-On-Sea,"22:45, 23:00"
332691,Tanishq Restaurant & Bar,4.4,(22),Price: Expensive,• Indian • Ongar,"21:45, 22:00"
177537,The Cricketers Arms in Rickling Green,4.5,(625),Price: Moderate,• Gastro Pub • Saffron Walden,"20:30, 20:45"
332502,Sévine Brasserie & Bar,4.7,(250),Price: Moderate,• Mediterranean • Harlow,"20:45, 21:00"
419724,Mirra,4.9,(18),Price: Expensive,• Mediterranean • Colchester,"22:45, 23:00"
362097,Food Shack Italiannew,,,Price: Moderate,• Italian • Rochford,"21:45, 22:00"
262791,Caesar@Dolphin,4.7,(290),Price: Expensive,• European • Braintree,"20:45, 21:00"
