restaurant_id,name,rating,reviews,price,cuisine_location,timeslots
390210,The Old Neighbourhood Inn,4.8,(42),Price: Expensive,• British • Cirencester,"20:45, 21:00"
213981,William's,4.7,(1909),Price: Expensive,• Fish • Nailsworth,"20:30, 20:45"
361986,Dosa Park Cirencester,4.5,(123),Price: Moderate,• Indian • Cirencester,"20:45, 21:00"
263835,The Ship Inn,4.7,(808),Price: Moderate,• British • Stroud,20:30
270474,Lola & Co Tapas,4.7,(603),Price: Expensive,• Tapas / Small Plates • Tetbury,"21:30*, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top, 21:45*, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top, Seating optionsStandardBarHigh Top"
141861,"The Ivy Montpellier Brasserie, Cheltenham",4.5,(11526),Price: Moderate,• British • Cheltenham,"22:15, 22:30"
143196,Téatro,4.2,(913),Price: Expensive,• British • Cirencester,"22:00*, Seating optionsBar, Seating optionsBar, Seating optionsBar, Seating optionsBar, 22:15*, Seating optionsBar, Seating optionsBar, Seating optionsBar, Seating optionsBar"
289047,Kibou Cheltenham,4.8,(154),Price: Expensive,• Japanese • Cheltenham,"21:45, 22:00"
204915,Bathurst Arms,4.0,(543),Price: Moderate,• Pub • Cirencester,"20:30, 20:45"
199707,The Cat and Custard Pot,4.6,(1014),Price: Moderate,• British • Tetbury,"20:30, 21:00"
264996,Italian Chalet at The Cat and Custard Pot,4.7,(111),Price: Moderate,• Pizzeria • Tetbury,"20:30, 21:00"
389622,The Greyhound Brasserie and Bar,4.6,(51),Price: Moderate,• Mediterranean • Malmesbury,"22:00, 22:15"
175632,Côte Brasserie - Cirencester,4.2,(91),Price: Moderate,• French • Cirencester,"21:45, 22:00"
387126,The Royal Oak,4.6,(66),Price: Expensive,• Gastro Pub • South Cerney,"20:30, 20:45"
272499,Nagomi,4.6,(431),Price: Expensive,• Japanese • Cheltenham,"20:45, 21:00"
165189,The Ox Barn,4.7,(1025),Price: Very Expensive,• British • Lechlade,"21:15, 21:30"
368457,KOKO,4.9,(18),Price: Very Expensive,• Cocktail Bar • Tetbury,"21:30*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, 21:45*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar"
374859,The Rattlebone Inn,4.7,(82),Price: Expensive,• British • Sherston,"20:30, 20:45"
264975,The Bell Inn,4.9,(1385),Price: Moderate,• British • Swindon,"20:30, 20:45"
319044,The Nook On Five,4.4,(663),Price: Very Expensive,• British • Cheltenham,"23:00*, Seating optionsBar, Seating optionsBar, Seating optionsBar, Seating optionsBar, 23:15*, Seating optionsBar, Seating optionsBar, Seating optionsBar, Seating optionsBar, 23:30*, Seating optionsBar, Seating optionsBar, Seating optionsBar, Seating optionsBar, 23:45*, Seating optionsBar, Seating optionsBar, Seating optionsBar, Seating optionsBar, 00:00*, Seating optionsBar, Seating optionsBar, Seating optionsBar, Seating optionsBar"
404052,The Woozy Pig,4.8,(44),Price: Expensive,• American • Cheltenham,"20:30*, Seating optionsStandardCounterHigh Top, Seating optionsStandardCounterHigh Top, Seating optionsStandardCounterHigh Top, Seating optionsStandardCounterHigh Top"
252564,Smith's of Bourton,4.7,(694),Price: Expensive,• Burgers • Bourton-on-the-Water,"20:45*, Seating optionsStandardCounter, Seating optionsStandardCounter, Seating optionsStandardCounter, Seating optionsStandardCounter, 21:00*, Seating optionsStandardCounter, Seating optionsStandardCounter, Seating optionsStandardCounter, Seating optionsStandardCounter"
165192,The Swan at Southrop,4.6,(399),Price: Expensive,• British • Lechlade,"20:45, 21:00"
265011,The Vine Tree,4.5,(78),Price: Expensive,• British • Malmesbury,"20:45, 21:00"
441009,The Golden Farmnew,4.7,(5),Price: Moderate,• British • Cirencester,"20:30, 20:45"
350463,Masons Arms,4.7,(192),Price: Expensive,• Gastro Pub • Fairford,"20:30*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar"
345684,Victoria's,4.5,(173),Price: Moderate,• Contemporary British • Cheltenham,"20:45, 21:00"
343449,The Slaughters Country Inn Restaurant & Bar,3.9,(150),Price: Expensive,• Contemporary British • Upper Slaughter,"20:45, 21:00"
369966,Ellenborough Park,4.3,(40),Price: Expensive,• Contemporary British • Cheltenham,"20:30, 20:45"
207858,The Slaughters Manor House,4.4,(53),Price: Moderate,• Contemporary European • Gloucester,"20:45, 21:00"
134721,Court Brasserie at Stonehouse Court,3.7,(284),Price: Expensive,• British • Stroud,"20:30, 20:45"
456201,The Coconut Tree - Cheltenhamnew,,,Price: Moderate,• Sri Lankan • Cheltenham,"21:30*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, 21:45*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top"
214284,The Royal Wootton Bassett,4.6,(2136),Price: Moderate,• British • Swindon,20:30
450927,La Petite Bar & Grill - High Street Cheltenham,4.5,(2),Price: Moderate,• Contemporary French • Cheltenham,"22:30, 22:45"
272442,Herberts at DoubleTree by Hilton Cheltenham-Cotswolds,3.0,(2),Price: Moderate,• British • Cheltenham,"21:15, 21:30"
253713,Brasserie Blanc Cheltenham,4.3,(95),Price: Moderate,• French • Cheltenham,"21:30, 21:45"
