restaurant_id,name,rating,reviews,price,cuisine_location,timeslots
370029,"Wine & Pairings @ Quob Park Estate, Hotel & Spa",4.0,(17),Price: Expensive,• Contemporary British • Winchester,"21:15, 21:30"
124428,"Reggina's Italian, Botley",4.5,(1874),Price: Expensive,• Italian • Southampton,"21:15, 21:30"
337305,Edo Asia,4.8,(378),Price: Expensive,• Japanese • Southampton,"23:00, 23:15, 23:30"
394836,Ellonies,4.5,(19),Price: Moderate,• Bistro • Bishops Waltham,"20:30, 20:45"
369690,Restaurant 1707 @ Quob Park Old House Hotel & Spa,4.8,(5),Price: Expensive,• Contemporary British • Winchester,"21:15, 21:30"
425958,Salt & Sage Bistro,4.8,(17),Price: Moderate,• British • Fareham,"20:30*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, 20:45*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top"
157908,The Ivy Winchester Brasserie,4.5,(12918),Price: Moderate,• British • Winchester,"22:15, 22:30"
136971,The Bakers Arms,4.6,(1261),Price: Moderate,• Gastro Pub • Bishops Waltham,"21:00*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, 21:15*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor"
254169,Brickworks Lounge and Grill,4.3,(57),Price: Expensive,• Grill • Fareham,"21:15*, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, 21:30*, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor"
341703,Winchester Restaurant at Macdonald Botley Park Hotel & Spa,2.8,(33),Price: Expensive,• British • Horton Heath,"21:00, 21:15"
392019,Hokkaido Japanese & Ramen,4.7,(39),Price: Expensive,• Japanese • Southampton,"21:00, 21:15"
131802,Red Dog Saloon Southampton,3.5,(1756),Price: Moderate,• American • Southampton,"22:45, 23:00"
247884,Porters Steakhouse,4.5,(389),Price: Very Expensive,• Steakhouse • Southampton,"21:15, 21:30"
275352,Shanghai 1814,4.7,(982),Price: Very Expensive,• Shanghainese • Southampton,"22:15, 22:30"
333990,PADHARO RESTAURANT SOUTHAMPTON,4.6,(138),Price: Moderate,• Indian • Southampton,"22:15, 22:30"
127167,36 on the Quay,4.8,(88),Price: Expensive,• Modern European • Havant,20:30
254163,Atlantic Gate,4.4,(45),Price: Expensive,• British • Southampton,"21:15, 21:30"
204201,Bill's Restaurant & Bar - Southampton,4.5,(1443),Price: Moderate,• British • Southampton,"21:30, 21:45"
