restaurant_id,name,rating,reviews,price,cuisine_location,timeslots
177234,Dining at Element Bar & Kitchen,4.4,(112),Price: Expensive,• Contemporary British • Hatfield,"21:00*, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, 21:15*, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor, Seating optionsStandardBarOutdoor"
175812,Côte Brasserie - St Albans,4.2,(106),Price: Moderate,• French • St. Albans,"21:45, 22:00"
53296,Lussmanns - St. Albans,4.6,(3902),Price: Moderate,• Modern European • St. Albans,"21:45, 22:00"
157911,The Ivy St Albans Brasserie,4.5,(6015),Price: Moderate,• British • St. Albans,"22:15, 22:30"
127620,Craft & Cleaver - St Albans,4.5,(1715),Price: Expensive,• Barbecue • St. Albans,"21:30*, Seating optionsStandardCounterOutdoor, Seating optionsStandardCounterOutdoor, Seating optionsStandardCounterOutdoor, Seating optionsStandardCounterOutdoor, 21:45*, Seating optionsStandardCounterOutdoor, Seating optionsStandardCounterOutdoor, Seating optionsStandardCounterOutdoor, Seating optionsStandardCounterOutdoor"
127956,Dining At Centurion Club,4.8,(1201),Price: Expensive,• British • St. Albans,20:30
204198,"Bill’s Restaurant, Café & Bar – St Albans",4.4,(1034),Price: Moderate,• British • St. Albans,"21:00*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, 21:15*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top"
103275,The White Horse,4.4,(440),Price: Moderate,• Gastro Pub • Harpenden,"20:45*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, 21:00*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor"
400365,The White Lion - St Albans,4.5,(35),Price: Moderate,• Gastro Pub • St. Albans,"20:30, 20:45"
98199,Lussmanns - Harpenden,4.8,(2858),Price: Moderate,• Modern European • Harpenden,"21:45, 22:00"
425697,PizzaExpress St Albans - Verulam Road,3.0,(0),Price: Moderate,• Pizzeria • St. Albans,"22:15, 22:30"
