restaurant_id,name,rating,reviews,price,cuisine_location,timeslots
111750,Olivers Bar & Restaurant,4.6,(436),Price: Expensive,• British • Rochester,"20:30, 20:45"
74728,Buenos Aires Nights - Maidstone,4.3,(1023),Price: Expensive,• Argentinian • Maidstone,"21:45, 22:00"
354030,The Vineyard Wrotham,4.6,(148),Price: Expensive,• English • West Malling,"20:30, 20:45"
92454,Brettingtons,4.5,(2369),Price: Expensive,• Steakhouse • Rochester,"20:45, 21:00"
357183,Turkuaz,4.7,(531),Price: Moderate,• Mediterranean • Rochester,"21:30, 21:45"
258624,Big Easy Bluewater,4.0,(1862),Price: Moderate,• Barbecue • Dartford,"21:45, 22:00"
170637,The Angel Inn,4.6,(1251),Price: Moderate,• British • West Malling,"20:30, 20:45"
141858,The Ivy Royal Tunbridge Wells,4.5,(6929),Price: Moderate,• British • Tunbridge Wells,"22:15, 22:30"
229152,Firepit Restaurant at The Cave,4.5,(1201),Price: Very Expensive,• Pan-Asian • Canterbury,"21:30, 21:45"
252594,The Korean Cowgirl at Cave Hotel,4.2,(1214),Price: Expensive,• Fusion / Eclectic • Canterbury,"21:30, 21:45"
141561,Sultan,4.5,(208),Price: Expensive,• Indian • Chatham,"22:30, 22:45"
347238,Bliss,4.3,(4),Price: Expensive,• Turkish • Maidstone,"20:45*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, 21:00*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor"
265863,Fish at 55,4.8,(1379),Price: Expensive,• Fish • Rochester,"20:30, 20:45"
286626,Kaya Meze Bar,5.0,(3),Price: Expensive,• Turkish • Rochester,"21:30*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, 22:00*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor"
389205,Boeuf,4.5,(143),Price: Expensive,• Steak • Rochester,"20:45, 21:00"
