restaurant_id,name,rating,reviews,price,cuisine_location,timeslots
260145,Gino D'Acampo Liverpool,4.3,(623),Price: Moderate,• Contemporary Italian • Liverpool,"22:45, 23:00"
362697,The Quarter,4.7,(130),Price: Moderate,• Italian • Liverpool,"21:30, 21:45"
337227,Voyagers Restaurant & Bar,4.3,(121),Price: Expensive,• Crossover • Liverpool,"21:15, 21:30"
346185,360 Sky Bar,3.9,(505),Price: Moderate,• Italian • Liverpool,"23:00, 23:15, 23:30, 23:45, 00:00"
285213,Gaucho Liverpool,4.7,(729),Price: Expensive,• Steakhouse • Liverpool,"22:45, 23:00"
426087,"The Ivy Asia, Liverpoolnew",4.8,(49),Price: Expensive,• Asian • Liverpool,"22:30, 22:45"
370230,Ivy Liverpool,4.6,(819),Price: Moderate,• British • Liverpool,"22:15, 22:30"
287853,Hawksmoor Liverpool,4.7,(2779),Price: Expensive,• Steakhouse • Liverpool,"21:45, 22:00"
145569,Wreck,4.7,(3345),Price: Expensive,• Bistro • Liverpool,"21:45, 22:00"
287865,The Restaurant Bar & Grill - Liverpool,4.5,(375),Price: Expensive,• Grill • Liverpool,"23:00*, Seating optionsBar, Seating optionsBar, Seating optionsBar, Seating optionsBar, 23:15*, Seating optionsBar, Seating optionsBar, Seating optionsBar, Seating optionsBar, 23:30*, Seating optionsBar, Seating optionsBar, Seating optionsBar, Seating optionsBar, 23:45*, Seating optionsBar, Seating optionsBar, Seating optionsBar, Seating optionsBar, 00:00*, Seating optionsBar, Seating optionsBar, Seating optionsBar, Seating optionsBar"
287655,Riva Blu Italian Restaurant & Bar - Liverpool,4.5,(434),Price: Expensive,• Italian • Liverpool,"22:30, 22:45"
175722,Côte Brasserie - Liverpool,4.0,(91),Price: Moderate,• French • Liverpool,"21:45, 22:00"
410874,The Dog & Collar Pub,4.0,(66),Price: Expensive,• British • Liverpool,"20:45, 21:00"
166008,The Cavern Restaurant,4.5,(1364),Price: Moderate,• British • Liverpool,"21:00, 21:15"
104871,Stanley's Bar & Grill,4.4,(1697),Price: Expensive,• British • Liverpool,"21:15, 21:30"
136803,Red Dog Saloon - Liverpool,4.2,(1330),Price: Moderate,• Barbecue • Liverpool,"23:00*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, 23:15*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, 23:30*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, 23:45*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, 00:00*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar"
327726,"Piccolino - Cook Street, Liverpool",4.4,(326),Price: Expensive,• Italian • Liverpool,"22:30, 22:45"
338418,Puffin' Rooms - Liverpool,4.7,(132),Price: Expensive,• British • Liverpool,"22:45*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, 23:00*, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top, Seating optionsStandardHigh Top"
120504,Bistro Franc,4.7,(379),Price: Moderate,• Mediterranean • Liverpool,"21:45, 22:00"
260451,Churrasco Steakhouse - City,4.4,(1005),Price: Very Expensive,• Steakhouse • Liverpool,"21:15, 21:30"
110511,Manhattan Bar & Grill,4.5,(386),Price: Moderate,• American • Liverpool,"21:45, 22:00"
334089,Pho - Liverpool Castle Street,4.5,(185),Price: Moderate,• Vietnamese • Liverpool,"21:45*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, 22:00*, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor, Seating optionsStandardOutdoor"
260001,Bread Street Kitchen  Bar — Liverpool,4.4,(187),Price: Moderate,• European • Liverpool,"21:45, 22:00"
394872,Ninello's Restaurant,4.7,(63),Price: Expensive,• Italian • Liverpool,"20:45, 21:00"
263055,Pho Liverpool,4.4,(284),Price: Moderate,• Vietnamese • Liverpool,"21:30, 21:45"
291423,Hibiki Sushi & Ramen,4.8,(251),Price: Moderate,• Japanese • Liverpool,"20:30*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar"
364668,Seven Seas Brasserie,4.5,(252),Price: Moderate,• British • Liverpool,"21:00, 21:15"
369630,Delhi House Liverpool,4.5,(90),Price: Expensive,• Indian • Liverpool,"21:45, 22:00"
288006,Gordon Ramsay Street Pizza – Liverpool,4.4,(39),Price: Moderate,• Pizzeria • Liverpool,"21:45, 22:00"
379236,Chy Liverpool City Centre,5.0,(3),Price: Moderate,• Chinese • Liverpool,"21:45, 22:00"
116430,Churrasco Steakhouse,4.8,(1657),Price: Moderate,• Steakhouse • Aigburth,"21:00, 21:30"
393432,Almost Famous Liverpool,4.6,(25),Price: Moderate,• Burgers • Liverpool,"21:45, 22:00"
123567,Copacabana Liverpool,3.5,(24),Price: Expensive,• Brazilian Steakhouse • Liverpool,"21:45, 22:00"
452757,Farina pasta labnew,,,Price: Moderate,• Italian • Liverpool,20:30
369993,North Sixty4,3.9,(12),Price: Moderate,• British • Liverpool,"21:15, 21:30"
419424,Grosvenor Casino Liverpool Leonew,,(0),Price: Moderate,• British • Liverpool,"23:00, 23:15, 23:30, 23:45, 00:00"
445977,GRAND BY IKKAYEES,,(0),Price: Moderate,• Indian • Liverpool,"23:00, 23:15, 23:30"
243837,Hope & Anchor Liverpool,5.0,(1),Price: Moderate,• British • Liverpool,"20:45, 21:00"
396108,Luminous Bar & Restaurant,4.3,(3),Price: Moderate,• Grill • Liverpool,"21:00, 21:30"
445656,Medusa,4.8,(36),Price: Expensive,• Greek • Waterloo,"20:30, 20:45"
28110,Dolce Vita,4.5,(16),Price: Moderate,• Italian • Ainsdale,20:30
393858,Home Liverpool,4.8,(64),Price: Expensive,• Tapas / Small Plates • Maghull,"20:45, 21:00"
417618,Klais Koffee,5.0,(12),Price: Moderate,• Cafe Dining • Ellesmere Port,"20:45, 21:00"
460683,Paolo's Wood Fire Pizzanew,,(0),Price: Moderate,• Pizza Bar • Wirral,"22:45, 23:00"
249375,Pied Bull,4.5,(676),Price: Moderate,• Pub • Newton-Le-Willows,"20:45*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, 21:00*, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar, Seating optionsStandardBar"
162660,Ayuthaya,4.8,(14),Price: Moderate,• Thai • Liverpool,"22:15, 22:30"
180021,Hazel Pear,4.6,(98),Price: Moderate,• Pub • Liverpool,"20:45, 21:00"
218886,The Sefton St Helens,3.5,(2),Price: Moderate,• British • St. Helens,"20:45, 21:00"
143199,Casa italia,4.8,(1057),Price: Moderate,• Pizzeria • Liverpool,
203868,Slug & Lettuce - Liverpool,3.6,(5),Price: Moderate,• International • Liverpool,
