restaurant_id,name,price,timeslots,location,cuisine,city
216807,The Spiritualist Aberdeen,Moderate,"23:00, 23:30, 00:00",aberdeen,Scottish,Aberdeen
425358,Wild Goosenew,Expensive,"23:00, 23:30, 00:00",aberdeen,British,Aberdeen
292485,Faffless,Moderate,23:00,aberdeen,Wine Bar,Aberdeen
362364,The Tilted Wignew,Moderate,23:00,aberdeen,Pub,Aberdeen
419469,Grosvenor Casino Aberdeennew,Expensive,"23:00, 23:30, 00:00",aberdeen,British,Aberdeen
157902,The Ivy Temple Row,Moderate,23:30,birmingham,British,Birmingham
260268,Lulu Wild,Expensive,22:30,birmingham,Chinese,Birmingham
254949,Isaac’s Restaurant,Expensive,"23:30, 00:00",birmingham,Contemporary British,Birmingham
338442,Madeleine Bar,Expensive,23:30,birmingham,Bar / Lounge / Bottle Service,Birmingham
33142,Pasta di Piazza,Moderate,22:30,birmingham,Italian,Birmingham
384975,Regina's Bar & Restaurant,Expensive,22:30,birmingham,Italian,Birmingham
371247,Royal Watan,Expensive,23:00,birmingham,Indian,Birmingham
338304,Siamais,Expensive,22:30,birmingham,Thai,Birmingham
67471,Cucina Rustica Birmingham,Expensive,22:30,birmingham,Italian,Birmingham
137586,Gaucho Birmingham,Expensive,22:30,birmingham,Steak,Birmingham
31978,Asha's Birmingham,Very Expensive,22:30,birmingham,Indian,Birmingham
287871,Bank Birmingham,Expensive,23:30,birmingham,Contemporary British,Birmingham
248421,Mythos Taverna,Moderate,22:30,birmingham,Greek,Birmingham
375009,Shrimp & Co Birmingham,Moderate,22:30,birmingham,Seafood,Birmingham
102342,Taj Mahal,Moderate,23:30,birmingham,Indian,Birmingham
131028,Colbeh Persian Kitchen & Bar,Expensive,23:00,birmingham,Persian,Birmingham
424278,KOKO Birmingham,Expensive,23:30,birmingham,Steakhouse,Erdington
353055,Rajdoot Indian Restaurant,Expensive,22:30,birmingham,Indian,Jewellery Quarter
126303,Restaurant Barajee,Moderate,23:30,birmingham,Indian,Birmingham
59005,Pushkar Cocktail Bar & Dining,Expensive,22:30,birmingham,Indian,Birmingham
383733,Ciaro Italian,Expensive,22:30,birmingham,Italian,Birmingham
323151,Celebrity Indian Restaurant Birminghamnew,Moderate,23:30,birmingham,Indian,Birmingham
396156,The Sheesh Turkish Meze and Grill,Expensive,22:30,birmingham,Turkish,Edgbaston
453051,Empress Restaurantnew,Expensive,23:00,birmingham,West African,Birmingham
101718,Raja Monkey,Expensive,22:30,birmingham,Indian,Birmingham
419466,Grosvenor Casino Walsallnew,Moderate,23:30,birmingham,Unspecified,Walsall
157905,The Ivy in the Lanes,Moderate,22:30,brighton,British,Brighton
277881,"The Ivy Asia, Brighton",Expensive,22:30,brighton,Contemporary Asian,Brighton
424893,Clementine & Co,Moderate,23:00,brighton,Cocktail Bar,Hove
11035,Food for Friends,Moderate,22:30,brighton,Vegetarian / Vegan,Brighton
290214,KUSIKUY,Expensive,23:00,brighton,Peruvian,Hove
383853,Salt & Charcoal,Moderate,"23:00, 23:30",brighton,Greek,Brighton
388677,Persia Lounge Hove,Moderate,22:30,brighton,Persian,Brighton
416730,Chowpatty,Moderate,22:30,brighton,Indian,Hove
195075,Al Rouche,Moderate,22:30,brighton,Middle Eastern,Hove
138069,The Ivy on the Square,Expensive,22:30,edinburgh,British,Old Town
128769,Badger & Co,Moderate,22:30,edinburgh,Scottish,Edinburgh
137754,Copper Blossom,Moderate,23:00,edinburgh,Cocktail Bar,Edinburgh
142638,Gaucho Edinburgh,Expensive,23:00,edinburgh,Steak,Edinburgh
165366,Cold Town House,Moderate,22:30,edinburgh,Brewery,Edinburgh
112095,Hard Rock Cafe - Edinburgh,Moderate,22:30,edinburgh,American,New Town
245394,The Broughton,Moderate,23:00,edinburgh,Scottish,Edinburgh
424110,Evergreen Bar & Kitchen,Expensive,"23:00, 23:30, 00:00",edinburgh,Scottish,New Town
345483,Edinburgh - Bucks Bar Hanover Street,Moderate,22:30,edinburgh,American,New Town
112713,Indian Lounge,Moderate,23:00,edinburgh,Indian,New Town
310851,Edinburgh - Bucks Bar Grindlay Street,Moderate,22:30,edinburgh,American,Old Town
451230,The Gilded Saloon,Moderate,23:00,edinburgh,Pub,Old Town
442986,Social by Matto,Moderate,22:30,edinburgh,Italian,Edinburgh
443892,The Gruff Goat,Moderate,22:30,edinburgh,Bistro,Old Town
158844,The Voyage of Buck,Expensive,"23:00, 23:30, 00:00",edinburgh,Contemporary British,Edinburgh
112428,The Black Bull,Moderate,23:00,edinburgh,Scottish,Old Town
276303,Nor' Loft,Moderate,22:30,edinburgh,Scottish,The Royal Mile
184134,McLarens on the Corner,Moderate,22:30,edinburgh,Scottish,Edinburgh
112749,Heads & Tales,Moderate,"23:00, 23:30, 00:00",edinburgh,Cocktail Bar,Westend
286293,Gordon Ramsay Street Burger - Edinburgh,Moderate,23:00,edinburgh,Burgers,New Town
265143,Tolbooth Tavern,Moderate,23:00,edinburgh,Scottish,Old Town
84568,Whighams Wine Cellars,Expensive,"23:00, 23:30",edinburgh,Wine Bar,New Town
443460,The Green Room,Expensive,23:00,edinburgh,French,Edinburgh
214305,House of Gods Cocktail Lounge Edinburgh,Moderate,"23:00, 23:30, 00:00",edinburgh,Bar / Lounge / Bottle Service,Edinburgh
390108,Bar 1819,Expensive,"23:00, 23:30, 00:00",edinburgh,Bar / Lounge / Bottle Service,Old Town
125892,Burgers & Beers Grillhouse,Moderate,22:30,edinburgh,Grill,The Royal Mile
104142,Vinyasa,Moderate,23:00,edinburgh,Indian,Edinburgh
112332,The Blackbird,Moderate,23:00,edinburgh,Contemporary British,Tollcross/Fountain Bridge
83929,56 North,Moderate,"23:00, 23:30, 00:00",edinburgh,Gastro Pub,Newington
275880,The Caley Bar,Moderate,"23:00, 23:30",edinburgh,Bar / Lounge / Bottle Service,New Town
419481,Grosvenor Casino Edinburghnew,Moderate,23:00,edinburgh,British,Edinburgh
112383,Queens Spicenew,Expensive,22:30,edinburgh,Indian,Edinburgh
425523,PizzaExpress Basildon - Festival Leisure Park,Moderate,23:00,essex,Pizzeria,Basildon
342909,The Eyna Basildon,Expensive,22:30,essex,Turkish,Basildon
280776,Kara Lounge & Grill,Moderate,22:30,essex,Turkish,Grays
425541,PizzaExpress Brentwood - High Street,Moderate,23:00,essex,Pizzeria,Brentwood
425880,PizzaExpress Rayleigh - High Street,Moderate,23:00,essex,Pizzeria,Rayleigh
176604,Gods Own Pizza Shenfield,Moderate,22:30,essex,Pizzeria,Brentwood
205959,Efezade Mezze Grill,Moderate,23:00,essex,Turkish,Chigwell
425691,PizzaExpress Southend - London Road,Moderate,23:00,essex,Pizzeria,Southend-On-Sea
419724,Mirra,Expensive,23:00,essex,Mediterranean,Colchester
350538,Aloha Lounge,Very Expensive,22:30,essex,Hawaiian,Southend-On-Sea
253575,Zamana,Moderate,23:00,essex,Pakistani,Ilford
426081,The Tarunew,Very Expensive,22:30,essex,Modern European,Buckhurst Hill
290652,Coco Asia,Expensive,"23:00, 23:30, 00:00",essex,Pan-Asian,Grays
419373,Grosvenor Casino Southendnew,Expensive,23:00,essex,British,Southend-On-Sea
425805,PizzaExpress Epping - High Street,Moderate,23:00,essex,Pizzeria,Epping
375198,Nuwairahs Japanese & Mexican Kitchen - Harlow,Expensive,"23:00, 23:30",essex,Sushi,Harlow
193299,Yaz Restaurant,Moderate,"23:00, 23:30",essex,Middle Eastern,Highams Park
425859,PizzaExpress Harlow - Water Gardens,Moderate,23:00,essex,Pizzeria,Harlow
31729,Thundercat Pub & Diner,Moderate,22:30,glasgow,American,Glasgow
250635,The Spiritualist Glasgow,Moderate,23:30,glasgow,Cocktail Bar,Glasgow
141861,"The Ivy Montpellier Brasserie, Cheltenham",Moderate,22:30,gloucestershire,British,Cheltenham
319044,The Nook On Five,Very Expensive,"23:00, 23:30, 00:00",gloucestershire,British,Cheltenham
450927,La Petite Bar & Grill - High Street Cheltenham,Moderate,22:30,gloucestershire,Contemporary French,Cheltenham
450864,Tabouli Terracenew,Moderate,22:30,gloucestershire,Middle Eastern,Cheltenham
325470,Mr. Cambray's Curiosity,Moderate,23:00,gloucestershire,Wine Bar,Cheltenham
278376,"Amore Italian, Corsham",Moderate,22:30,gloucestershire,Italian,Corsham
337305,Edo Asia,Expensive,"23:00, 23:30",hampshire,Japanese,Southampton
157908,The Ivy Winchester Brasserie,Moderate,22:30,hampshire,British,Winchester
131802,Red Dog Saloon Southampton,Moderate,23:00,hampshire,American,Southampton
275352,Shanghai 1814,Very Expensive,22:30,hampshire,Shanghainese,Southampton
333990,PADHARO RESTAURANT SOUTHAMPTON,Moderate,22:30,hampshire,Indian,Southampton
453372,Good Thingsnew,Moderate,"23:00, 23:30, 00:00",hampshire,Cocktail Bar,Southampton
361305,The Kara Fleet,Expensive,"23:00, 23:30, 00:00",hampshire,Turkish,Fleet
374322,Guru - Ji,Expensive,22:30,hampshire,Asian,Fleet
288705,Wild Carrot Bar,Very Expensive,"23:00, 23:30, 00:00",hampshire,Contemporary British,Dogmersfield
278091,Bounty Inn,Moderate,22:30,hampshire,Pub,Basingstoke
157911,The Ivy St Albans Brasserie,Moderate,22:30,hertfordshire,British,St. Albans
425697,PizzaExpress St Albans - Verulam Road,Moderate,22:30,hertfordshire,Pizzeria,St. Albans
308310,MUST Wine Bar St Albans,Expensive,23:00,hertfordshire,Wine Bar,St. Albans
248490,BHAGEECHA,Expensive,22:30,hertfordshire,Indian,Radlett
274221,White Horse - London Colney,Moderate,23:00,hertfordshire,Pub,Radlett
425874,PizzaExpress Radlett - Watling Street,Moderate,23:00,hertfordshire,Pizzeria,Radlett
171264,Judges Restaurant & Cocktail bar,Expensive,"23:00, 23:30, 00:00",hertfordshire,Modern European,Potters Bar
425871,PizzaExpress Hemel Hempstead - Riverside,Moderate,23:00,hertfordshire,Pizzeria,Hemel Hempstead
369576,The Bank,Expensive,22:30,hertfordshire,Indian,Rickmansworth
425715,PizzaExpress Watford - High Street,Moderate,23:00,hertfordshire,Pizzeria,Watford
215397,Gables Restaurant,Expensive,22:30,hertfordshire,International,Hertford
127341,Dolce Caffè & Restaurant,Moderate,22:30,hertfordshire,French,Rickmansworth
268785,Neelakash Restaurant,Moderate,22:30,hertfordshire,Indian,Ware
144372,San Giorgionew,Expensive,22:30,hertfordshire,Italian,Borehamwood
442158,The Old Paparazzi,Expensive,"23:00, 23:30",hertfordshire,Italian,Potters Bar
138339,Ruby's,Moderate,22:30,hertfordshire,Indian,Bishop's Stortford
389022,Nuwairahs Japanese & Mexican Kitchen - Bishops Stortford,Expensive,22:30,hertfordshire,Japanese,Bishop's Stortford
141858,The Ivy Royal Tunbridge Wells,Moderate,22:30,kent,British,Tunbridge Wells
141561,Sultan,Expensive,22:30,kent,Indian,Chatham
343659,Essence at the Pantiles by Atul Kochhar,Expensive,22:30,kent,Indian,Tunbridge Wells
368148,"The Ivy, Canterbury",Moderate,22:30,kent,British,Canterbury
423918,Eagle Grill and Barnew,Expensive,22:30,kent,Mediterranean,Maidstone
261459,Pierluigi's,Very Expensive,22:30,kent,Italian,Beckenham
344004,Lemons Bar,Moderate,23:00,kent,Cocktail Bar,Tunbridge Wells
199140,Citi Terrace,Moderate,"23:00, 23:30, 00:00",kent,Fusion / Eclectic,Canterbury
410400,Raasa,Very Expensive,22:30,kent,Indian,Orpington
387429,Durbar Spice,Moderate,22:30,kent,Indian,Biggin Hill
370512,The Grapevine - Tenterden,Expensive,"23:00, 23:30, 00:00",kent,Wine Bar,Tenterden
454485,Allkin Tap and Bottlenew,Expensive,"23:00, 23:30",kent,Bar / Lounge / Bottle Service,Tunbridge Wells
281073,The Greek Meze - Sidcup,Moderate,22:30,kent,Greek,Sidcup
106221,Shampan Welling,Expensive,23:00,kent,Indian,Bexleyheath
419376,Grosvenor Casino Thanet,Very Expensive,"23:00, 23:30, 00:00",kent,British,Ramsgate
96807,Sapore Vero - Beckenham,Expensive,22:30,kent,Pizzeria,Beckenham
260145,Gino D'Acampo Liverpool,Moderate,23:00,liverpool,Contemporary Italian,Liverpool
346185,360 Sky Bar,Moderate,"23:00, 23:30, 00:00",liverpool,Italian,Liverpool
285213,Gaucho Liverpool,Expensive,23:00,liverpool,Steakhouse,Liverpool
